名称,拼音,英文名,拉丁名,类别,来源,产地,性状,品质,性味,功效
薤白,Xiebai,Longstamen Onion Bulb,Allii Macrostemonis Bulbus,根及根茎类,百合科植物小根蒜Allium macrostemon Bge.、薤Allium chinense G. Don的干燥鳞茎。,主产东北地区及江苏、湖北等地。,小根蒜：鳞茎吐不规则卵圆形，长0.5~2.0cm，直径0.7~1.8cm。表面黄白色或淡黄棕色，皱缩，半透明，有缘沟及皱纹或有类白色膜质鳞片包被，顶端有残存茎痕，基部有突起的鳞茎盘。质坚硬，角质样，不易破碎，断面黄白色。微有蒜气，味微辣。 藠头：鳞长卵形，直径1~1.5cm。长梗薤白：鳞茎卵球形，直径1~2cm。天蓝小根蒜：鳞茎近球形，直径1~2cm。,均以个大、饱满、质坚、黄白色、半透明者为佳。,辛、苦，温。,胸痹心痛彻背；胸脘痞闷；咳喘痰多；脘腹疼痛；泄痢后重；白带；疮疖痈肿；通阳散结，行气导滞。
细辛,Xixin,Manchurian Wildginger Herb,Asari Radix et Rhizoma,根及根茎类,马兜铃科植物北细辛Asarum heterotropoides Fr. Schmidt var. mandshuricum (Maxim.) Kitag.、华细辛Asarum sieboldii Miq.及汉城细辛Asarum sieboldii Miq.var. seoulense Nakai的干燥根及根茎。,主产东北地区及江苏、湖北等地。,北细辛：多数十棵扎成为一小把，常卷缩成团。根茎横生呈不规则圆柱形，具短分枝，长1~10cm，直径0.2~0.4cm；表面灰棕色，粗糙，具环形节，节间长0.9~0.3cm，分枝顶端有碗状的茎痕。根细长，密生节上，长10~20cm，直径1mm，表面灰黄色，平滑或具纵皱纹，质脆易折断，断面黄白色，基生叶l~3，具长柄，表面光滑，叶片多破碎，完整者心形至肾状心形，长4~10cm，全缘，先端短尖或钝，基部心形。表面淡绿色。有的可见花果，花多皱缩，钟形，暗紫色，花被裂片反卷与花被筒几全部相贴。果实半球形。气辛香，味辛辣、麻舌。华细辛：与北细辛相似，惟根茎长5~20cm，直径0.1~0.2cm，节间长0.2~1cm。基生叶l~2，叶片较薄，心形，先端渐尖。花被裂片开展。果实近球形。气味较弱。汉城细辛：根茎长1~10cm，直径0.1~0.5cm，节间长约0.1~1cm，气味同北细辛。,均以根灰黄、叶绿、干燥、味辛辣而麻舌者为佳。,辛，温。,解表散寒；祛风止痛；温肺化饮；通窍。主治风寒表证；头痛，牙痛；风湿痹痛；痰饮咳喘；鼻塞；鼻渊；口疮。
西洋参,Xiyangshen,American Ginseng,Panacis Quinquefolii Radix,根及根茎类,五加科植物西洋参Panax quinquefolium L.的干燥根。,主产加拿大、美国等地。,本品呈纺锤形、圆柱形或圆锥形，长3~12cm，直径0.8~2cm。表面浅黄褐色或黄白色，可见横向环纹及线状皮孔，并有细密浅纵皱纹及须根痕。主根中下部有一至数条侧根；多已折断。有的上端有根茎 (芦头)，环节明显，茎痕 (芦碗) 圆形或半圆形具不定根疔或已折断。体重，质坚实，不易折断，断面平坦，浅黄白色，略显粉性，皮部可见黄棕色点状树脂道，形成层环纹棕黄色，本部略呈放射状纹理。气微而特异，味微苦、甘。,以条均匀、质硬、表面横纹紧密、气浓清香者为佳。,甘、微苦，微寒。,补气养阴，清热生津。用于气虚阴亏，内热，咳喘痰血，虚热烦倦，消渴，口燥咽干。西洋参有抗疲劳、抗氧化、抗应激、抑制血小板聚集、降低血液凝固性的作用，另外，对糖尿病患者还有调节血糖的作用。
玄参,Xuanshen,Figwort Root,Scrophulariae Radix,根及根茎类,玄参科植物玄参Scrophularia ningpoensis Hensl.的干燥根。,主产川渝地区、陕西、湖北、江西等地。,根类圆柱形，中间略粗或上粗下细，有的微弯曲，长6~20cm，直径1~3cm。表面灰黄色或灰褐色，有不规则的纵沟、横向皮孔及稀疏的横裂纹和须根痕。质坚实，不易折断，断面黑色，微有光泽。气特异似焦糖，味甘、微苦、咸。,以条粗壮、坚实、断面乌黑者为佳。,甘、苦、咸，微寒。,清热凉血，泻火解毒，滋阴。用于温邪入营，内陷心包，温毒发斑，热病伤阴、舌绛烦渴、津伤便秘、骨蒸劳嗽、目赤、咽痛、瘰疬、白喉、痈肿疮毒。
徐长卿,Xuchangqing,Paniculate Swallowwort Root or Herb,Cynanchi Paniculati Radix et Rhizoma,根及根茎类,萝藦科植物徐长卿Cynanchum paniculatum (Bge.) Kitag.的干燥根及根茎。,主产江苏、浙江、湖北、安徽等地。,本品根茎呈不规则柱状，有盘节，长0.5~3.5cm，直径2~4mm。有的顶端带有残茎，细圆柱形，长约2cm，直径1~2mm，断面中空；根茎节处周围着生多数根。根呈细长圆柱形，弯曲，长10~16cm，直径1~1.5mm。表面淡黄白色至淡棕黄色，或棕色；具微细的纵皱纹，并有纤细的须根。质脆，易折断，断面粉性，皮部类白色或黄白色，形成层环淡棕色，木部细小。气香，味微辛凉。,以香气浓者为佳。,辛，温。,祛风化湿，止痛止痒。用于风湿痹痛，胃痛胀满，牙痛，腰痛，跌扑损伤，荨麻疹、湿疹。
续断,Xuduan,Asper - like Teasel Root,Dipsaci Radix,根及根茎类,川续断科植物川续断Dipsacus asperoides C. Y. Cheng et T. M. Ai的干燥根。,主产云贵地区和湖北等地。,根长圆柱形，略扁，微弯曲，长5~15cm，直径0.5~2cm。表面棕褐色或灰褐色，有多数明显而扭曲的纵皱纹及沟纹，并多数明显而扭曲的纵皱纹及沟纹，并可见横长皮孔及少数须根痕。质稍软，久置干燥后变硬。易折断，断面不平坦，皮部绿褐色或淡褐色，木部黄褐色，常呈放射状花纹。气微香，味苦，微甜而后涩。,以条粗、质软、皮部绿褐色为佳。,苦、辛，微温。,补肝肾；强筋骨；调血脉；续折伤；止崩漏。用于腰背酸痛；肢节痿痹；跌扑创伤、损筋折骨、胎动漏红、血崩、遗精、带下、痈疽疮肿。酒续断多用于风湿痹痛，跌扑损伤。盐续断多用于腰膝酸软。
延胡索,Yanhusuo,Yanhusuo Tuber,Corydalis Rhizoma,根及根茎类,罂粟科植物延胡索Corydalis yanhusuo W. T.Wang 的干燥块茎。,主产浙江。,干燥块茎，呈不规则扁球形，直径1~2cm，表面黄色或褐黄色，顶端中间有略凹陷的茎痕，底部或有疙瘩状凸起。质坚硬而脆，断面黄色，角质，有蜡样光泽。无臭，味苦。,以个大、饱满、质坚、色黄、内色黄亮者为佳。,辛、苦，温。,活血散瘀，行气止痛。主治胸痹心痛，胁肋、脘腹诸痛，头痛、腰痛、疝气痛、筋骨痛、痛经、经闭，产后瘀腹痛，跌打损伤。
银柴胡,Yinchaihu,Lanceolate Dichotomous Starwort Root,Stellariae Radix,根及根茎类,石竹科植物银柴胡Stellaria dichotoma L. var. lanceolata Bge.的干燥根。,主产甘肃、宁夏、陕西、内蒙古等地。,呈类圆柱形，偶有分枝，长15~40cm，直径0.5~2.5cm。表面浅棕黄色至浅棕色，有扭曲的纵皱纹及支根痕，多具孔穴状或盘状凹陷，从砂眼处折断可见棕色裂隙中有细砂散出，根头部略膨大，有密集的呈疣状突起的芽苞、茎或根茎的残基。质硬而脆，易折断，断面不平坦，较疏松，有裂隙，皮部甚薄，木部有黄、白色相间的放射状纹理。气微，味甘。栽培品有分枝，下部多扭曲，直径0.3~1.2cm。表面浅棕黄色或浅黄棕色，纵皱纹细腻明显，细支根痕多呈点状凹陷。根头部有多数疣状突起。几无砂眼。折断面质地较紧密，几无裂隙，略显粉性，木部放射状纹理不甚明显。味微甜。,以根长均匀、顶端具“珍珠盘”、外皮淡黄色、断面黄白色者为佳。,甘，微寒。,清热凉血。治虚劳骨蒸，阴虚久疟，小儿瘠热羸瘦。
远志,Yuanzhi,Thinleaf Milkwort Willd.,Polygalae Radix,根及根茎类,远志科植物远志Polygala tenuifolia Willd.或卵叶远志Polygala sibirica L. 的干燥根。,主产陕西、山西、吉林、河南等地。,该品呈圆柱形，略弯曲，长3~15cm，直径0.3~0.8cm。表面灰黄色至灰棕色，有较密并深陷的横皱纹、纵皱纹及裂纹，老根的横皱纹较密更深陷，略呈结节状。质硬而脆，易折断，断面皮部棕黄色，木部黄白色，皮部易与木部剥离。气微，味苦、微辛，嚼之有刺喉感。,以皮厚、条粗者为佳。,苦、辛，微温。,安神益智，祛痰，消肿。用于心肾不交引起的失眠多梦，健忘惊悸，神志恍惚，咳痰不爽，疮疡肿毒，乳房肿痛。
郁金,Yujin,Wenchow Turmeric Root Tuber,Curcumae Radix,根及根茎类,姜科植物温郁金Curcuma wenyujin Y. H. et C. Ling、姜黄Curcuma longa L.、广西莪术Curcuma kwangsiensis S. G. Lee et C. F. Liang或蓬莪术Curcuma phaeocaulis Val.的干燥块根。前两者分别习称“温郁金”和“黄丝郁金”，其余按性状不同习称“桂郁金”或“绿丝郁金”。,主产浙江瑞安。,温郁金：呈长圆形或卵圆形，稍扁，有的微弯曲，两端渐尖。长3.5~7cm，直径1.2~2.5cm。表面灰褐色或灰棕色，具不规则的纵皱纹，纵纹隆起处色较浅。质坚实，断面灰棕色，角质样；内皮层环明显。气微香，味微苦。黄丝郁金：呈纺锤形，有的一端细长，长2.5~4.5cm，直径1~1.5cm。表面棕灰色或灰黄色，具细皱纹，断面橙黄色，外周棕黄色至棕红色。气芳香，味辛辣。 桂郁金：呈长圆锥形或长圆形，长2~6.5cm，直径1~1.8cm。表面具疏浅纵纹或较粗糙网状皱纹。气微，味微辛苦。绿丝郁金：呈长椭圆形，较粗壮，长1.5~3.5cm，直径1~1.2cm。气微，味淡。,以坚实、断面黄色者为佳。,辛、苦，寒。,行气化瘀，清心解郁，利胆退黄。用于经闭痛经，胸腹胀痛、刺痛，热病神昏，癫痫发狂，黄疸尿赤。
禹州漏芦,Yuzhouloulu,Broadleaf Globethistle Root,Echinopsis Radix,根及根茎类,菊科植物蓝刺头Echinops latifolius Tausch的干燥根。,主产内蒙古、河南等地。,呈类圆柱形，上粗下细，稍扭曲，长10~30cm，直径1~2cm。外皮灰褐色或灰黄色，粗糙，有纵皱纹，顶端丛生棕色硬毛，为残存的叶柄维管束，下端偶有分枝。质坚，不易折断，断面外圈褐色，内有黄、黑相间的菊花纹。无臭，味微涩。以条粗、坚实者为佳。根呈类圆柱形、稍扭曲，长短不一，直径0.5~1.5cm。表面土黄色或灰棕色，粗糙，具纵皱纹，顶端有纤维状棕色硬毛，为残存的叶柄维管束。质坚，断面粗纤维状，皮部棕色，木部具黄黑相间的菊纹，气微，味微涩。,以枝条粗长，表面土棕色，质坚实，长短整齐者为佳。,苦，寒。,清热解毒，排脓止血，消痈下乳。用于诸疮痈风，乳痈肿痛，乳汁不通，瘰疬疮毒。又用作驱蛔剂。
玉竹,Yuzhu,Fragrant Solomonseal Rhizome,Polygonati Odorati Rhizoma,根及根茎类,百合科植物玉竹Polygonatum odoratum (Mill.) Druce的干燥根茎。,主产湖南、河南、江苏、浙江等地。,该品呈长圆柱形，略扁，少有分枝，长4~18cm，直径0.3~1.6cm。表面黄白色或淡黄棕色，半透明，具纵皱纹及微隆起的环节，有白色圆点状的须根痕和圆盘状茎痕。质硬而脆或稍软，易折断，断面角质样或显颗粒性。气微，味甘，嚼之发黏。,以肥壮、条长、色黄白光润、半透明、味甜者为佳。,甘，平。,滋阴润肺；养胃生津。燥咳；劳嗽；热病阴液耗伤之咽干口渴；内热消渴；阴虚外感；头昏眩晕；筋脉挛痛。
泽泻,Zexie,Oriental Waterplantain Tuber,Alismatis Rhizoma,根及根茎类,泽泻科植物泽泻Alisma orientalis (Sam.) Juzep.的干燥块茎。,主产福建、四川等地。,块茎类球形、椭圆形或卵圆形、长2~7cm，直径2~6cm。表面黄白色或淡黄棕色，有不规则的横向环状浅沟纹及多数细小突起的须根痕，底部有的有瘤状芽痕。质坚实，断面黄白色，粉性，有多数细孔。气微，味微苦。,以块大、黄白色、光滑、质充实、粉性足者为佳。,甘、淡，寒。,利水渗湿；泄热通淋。主小便不利；热淋涩痛；水肿胀满；泄泻；痰饮眩晕；遗精。
浙贝母,Zhebeimu,Chekiang Fritillary Bulb,Fritillariae Thunbergii Bulbus,根及根茎类,百合科植物浙贝母Fritillaria thunbergii Miq.的干燥鳞茎。,主产浙江、江苏、安徽、湖南等地。,元宝贝为鳞茎外层的单瓣鳞片。一面凸出，一面凹入，呈元宝状，瓣长约1.7~4cm，厚7~17mm。表面白色，或带淡黄色，被有白色粉末，质硬而脆，易折断，断面不齐，白色或淡黄色，富粉性。气微，味苦。珠贝为完整的鳞茎，呈扁圆球形，高1~1.7cm，直径2~3.5cm。表面白色，外层两枚鳞叶肥厚，略似肾脏形，中央为2~3枚皱缩的小鳞叶及残茎，内表面垦淡黄白色。质地、气味同元宝贝。,均以鳞叶肥厚、表面及断面白色、粉性足者为佳。,苦，寒。,清热化痰，散结解毒。治风热咳嗽，肺痈喉痹，瘰疬，疮疡肿毒。
知母,Zhimu,Common Anemarrhena,Anemarrhenae Rhizoma,根及根茎类,百合科植物知母Anemarrhena asphodeloides Bge.的干燥根茎。,主产山西、河南、甘肃、陕西、内蒙古等地。,该品呈长条状，微弯曲，略扁，偶有分枝，长3~15cm，直径0.8~1.5cm，一端有浅黄色的茎叶残痕。表面黄棕色至棕色，上面有一凹沟，具紧密排列的环状节，节上密生黄棕色的残存叶基，由两侧向根茎上方生长；下面隆起而略皱缩，并有凹陷或突起的点状根痕。质硬，易折断，断面黄白色。气微，味微甜、略苦，嚼之带粘性。,均以质硬、条肥大、断面黄白色者为佳。,苦、甘，寒。,清热泻火，生津润燥。用治外感热病，高热烦渴，内治肺热咳嗽，胃热消渴，肺燥咳嗽；肠燥便秘；骨蒸潮热。
朱砂根,Zhushagen,Coral Ardisia Root,Ardisiae Crenatae Radix,根及根茎类,紫金牛科植物朱砂根Ardisia crenata Sims的干燥根。,主产两广地区和江西、浙江等地。,根簇生于略膨大的根茎上，呈圆柱形，略弯曲，长5~25cm，直径2~10mm。表面棕褐色或灰棕色，具多数纵皱纹及横向或环状断裂痕，皮部与木部易分离。质硬而脆，易折断，折断面不平坦，皮部厚，约占断面的一半，类白色或浅紫红色，木部淡黄色。气微，味微苦、辛，有刺舌感。,以条粗、皮厚者为佳。,苦、辛，平。,行血祛风，解毒消肿。用于上呼吸道感染，咽喉肿痛，扁桃体炎，白喉，支气管炎，风湿性关节炎，腰腿痛，跌打损伤，丹毒，淋巴结炎；外用治外伤肿痛，骨折，毒蛇咬伤。
紫草,Zicao,Redroot Gromwell,Arnebiae Radix,根及根茎类,紫草科植物紫草 (硬紫草) Lithospermum erythrorhizon Sieb. et Zucc.和新疆紫草 (软紫草) Arnebia euchroma (Royle) Johnst.以及内蒙紫草Arnebia guttata Bge.的干燥根。,主产东北地区、内蒙古等地。,硬紫草：根呈圆锥形，扭曲，有分枝，长7~14cm，直径1~2cm。表面紫红色或紫黑色，粗糙有纵纹，皮部薄，易剥落。质硬而脆，易折断，断面皮部深紫色，木部较大，灰黄色。气特异，味酸、甜。软紫草：根呈不规则的长圆柱形，多扭曲，长7~20cm，直径1~2.5cm。表面紫红色或紫褐色，皮部疏松，呈条形片状，常10余层重叠，易剥落。顶端有的可见分歧的茎残基。体软，质松软，易折断，断面不整齐，木部较小，黄色或黄白色。气特异，咋做苦、涩。内蒙紫草：皮部略薄，常数层相叠，易剥离，质硬而脆，断面较整齐，木部较小。,以条粗、皮厚、紫色者为佳。,甘、咸、微酸，寒。,凉血，活血，解毒透疹。用于血热毒盛、斑疹紫黑、麻疹不透、疮疡、湿疹、水火烫伤。清热凉血，用于麻疹，热病癍疹，湿疹，尿血，血淋，血痢，疮疡，丹毒，烧伤，热结便秘。
紫菀,Ziwan,Tatarian Aster Root and Rhizome,Asteris Radix et Rhizoma,根及根茎类,菊科植物紫菀Aster tataricus L. f.的干燥根及根茎。,主产东北、西北地区和安徽等地。,根茎不规则块状，大小不一，顶端有茎、叶的残基，下端偶有末除尽的母根，质梢硬。根茎簇生多数细根，长3~15cm，直径0.1~0.3cm，多编成辫状；表面紫红色或灰红色，有纵皱纹；质较柔韧。气微香，味甜、微苦。,以根长、紫红色、无杂质、质柔韧者为佳。,辛、苦，温。,润肺下气，消痰止咳。用于痰多喘咳、新久咳嗽、劳嗽咳血。
甘草,Gancao,Liquorice Root,Glycyrrhizae Radix et Rhizoma,根及根茎类,豆科植物甘草Glycyrrhiza uralensis Fisch.的干燥根及根茎。,主产于内蒙古、山西、甘肃、新疆、宁夏等地。,圆柱形，外皮松紧不一。表面红棕色或灰棕色，具显著的纵皱纹、沟纹、皮孔及稀疏的细根痕。质坚实，断面略显纤维性，黄白色，粉性。根茎表面有芽痕，断面中部有髓。气微，味甜而特殊。饮片为斜切片。,以皮细紧、色红棕、质坚实、断面色黄白、粉性足者为佳。,甘，平。,益气补中，清热解毒，祛痰止咳，缓急止痛，调和药性。
何首乌,Heshouwu,Tuber Fleeceflower Root,Polygoni Multiflori Radix,根及根茎类,蓼科植物何首乌Polygonum multiflorum Thunb.的干燥块根。,主产于陕西、甘肃省南部、华东、华中、华南、西南等地。,团块状或不规则纺锤形。表面红棕色或红褐色，皱缩不平，有浅沟，并有横长皮孔样突起和细根痕。体重，质坚实，不易折断。断面浅黄棕色或浅红棕色，显粉性，皮部有4~11个类例形异型维管束环列，形成云锦状花纹，中央水部较大，有的呈木心。气微，味微苦而甘涩。,以体重，质坚实为佳。,苦、甘、涩。,解毒，消痈，截疟，润肠通便。用于疮痈，瘰疬，风疹疲痒，久疟体虚，肠燥便秘。
威灵仙,Weilingxian,Chinese Clematis Root and Rhizome,Clematidis Radix et Rhizoma,根及根茎类,毛茛科植物威仙灵Clematis chinensis Osbeck、棉团铁线莲Clematis hexapetala Pall.或东北铁线莲Clematis manshurica Rupr的干燥根和根茎。,主产于山西、河南、河北、山东等地。,威灵仙：根茎呈柱状，淡棕黄色；顶端残留茎基；质较坚韧，断面纤维性；下侧着生多数细很，根呈细长圆柱形，稍弯曲，表面黑褐色，有细纵纹，有的皮部脱落，露出黄白色木部；质硬脆，易折断，断面皮部较广，木部淡黄色，略呈方形，皮部与木部间常有裂隙。气微，味淡。棉团铁线莲：根茎呈短柱状，表面棕揭色至棕黑色、断面木部圆形。 味咸。东北铁线蓬：根茎呈柱状，表面棕黑色；断面木部近圆形，味辛辣。,以条粗、皮厚者为佳。,辛、咸、温。,祛风湿，通经络。用于风湿痹痛，肢体麻木，筋脉拘挛，屈伸不利。
半夏,Banxia,Ternate Pinellia,Pinelliae Rhizoma,根及根茎类,天南星科植物半夏Pinellia ternata (Thunb.) Breit.的干燥块茎。,主产甘肃、湖北、四川、安徽、江苏、河南，浙江等地。,本品呈类球形，有的稍偏斜，表面白色或浅黄色，顶端有凹陷的茎痕，周围密布麻点状根痕；下面钝圆，较光滑。质坚实、断面洁白，富粉性。气微，味辛辣、麻舌而刺喉。,以个大、皮净、色白、质坚实、粉性足者为佳。,辛、温，有毒。,燥湿化痰，降逆止呕，消痞散结。用于湿痰寒痰，咳喘痰多，痰饮 眩悸，风痰眩晕，痰厥头痛.呕吐反胃.胸院痞闷，梅核气；外治痛肿痰核。
钩藤,Gouteng,Sharpleaf Uncaria Stem with Hools,Uncariae Ramulus cum Uncis,藤木类,茜草科植物钩藤Uncaria rhynchophylla (Miq.) Jacks.的干燥带钩茎枝。,主产于广东、广西、湖南、湖北等地。,茎枝圆柱形或类方柱形，直径2~6mm。表面红棕色至紫棕色或棕褐色，上有细纵纹，无毛。茎上具略突起的环节，对生两个向下弯曲的钩或仅一侧有钩，钩长1~2cm，形如船铺，先端渐尖，基部稍圆。钩基部的枝上可见叶柄脱落后凹点及环状的托叶痕。体轻，质硬。横截面外层棕红色，髓部淡棕色或淡黄色。气微，味淡。,以茎细、带双钩、钩结实、光滑、紫红色者为佳。,甘，凉。,清热平肝；熄风止痉。小儿惊风；夜啼；热盛动风；子痫；肝阳眩晕；肝火头胀痛。
