名称,拼音,英文名,拉丁名,类别,来源,产地,性状,品质,性味,功效
五味子,Wuweizi,Chinese Magnoliavine Fruit,Schisandrae Chinensis Fructus,果实及种子类,木兰科植物五味子Schisandra chinensis (Turcz.) Baill.的干燥成熟果实。,主产东北地区。,干燥果实略呈球形或扁球形，直径5~8mm。外皮鲜红色，紫红色或暗红色。显油润，有不整齐的皱缩。果肉柔软，常数个粘连一起；内含种子1~2枚，肾形，棕黄色，有光泽，坚硬，种仁白色。果肉气微弱而特殊，味酸。种子破碎后有香气，味辛而苦。,以紫红色、粒大、肉厚、有油性及光泽者为佳。,酸、甘，温。,收敛固涩，益气生津，补肾宁心。用于久嗽虚喘，梦遗滑精，遗尿尿频，久泻不止，自汗，盗汗，津伤口渴，短气脉虚，内热消渴，心悸失眠。
吴茱萸,Wuzhuyu,Medicinal Evodia Immature Fruit,Euodiae Fructus,果实及种子类,芸香科植物吴茱萸Evodia rutaecarpa (Juss.) Benth.的干燥近成熟果实。,主产云贵地区以及湖南等地。,果实呈五角状扁球形，直径2~5mm。表面暗黄绿色至褐色，粗糙，有点状突起或凹下的油点。顶端有五角星状的裂隙，基部残留被有黄色茸毛的果梗。质硬而脆。气芳香浓郁，味辛辣而苦。,以绿色、粒小、饱满坚实、香气浓者为佳。,辛、苦，热，有小毒。,散寒止痛、降逆止呕。用于治疗肝胃虚寒、阴浊上逆所致的头痛或胃脘疼痛等症。
相思子,Xiangsizi,Coralhead Plant Seed,Abri precatorii Semen,果实及种子类,豆科植物相思子Abrus precatorius L.的干燥近成熟种子。,主产广东、广西、福建、云南等地。,干燥种子呈椭圆形，少数近于球形，长径5~7mm，短径4~5mm，表面红色，种脐白色椭圆形，位于腹面的一端，在其周围呈乌黑色，约占种皮表面的1/4~1/3，种脊位于种脐一端，呈微凸的直线状。种皮坚硬，不易破碎，内有2片子叶和胚根，均为淡黄色。气青草样，味涩。,以个大、红头、黑底、色艳、粒圆、饱满者为佳。,辛、苦、平，有小毒。,清热解毒，涌吐，杀虫。外用治癣疥，痈疮，湿疹。
香橼,Xiangyuan,Medical Citron Fruit,Citri Fructus,果实及种子类,芸香科植物枸橼Citrus medica L.的干燥成熟果实。,主产四川、福建、云南等地。,果为圆形或长圆形片，直径4~10cm，厚0.2~0.5cm。横切片外果皮黄色或黄绿色，边缘呈波状，散有凹人的油点；中果皮厚1~3cm，黄白色，有不规则的网状突起的维管束；瓤囊10~17室。纵切片中心柱较粗壮。质柔韧。气清香味微甜而苦辛。,以片色黄、香气浓者为佳。,辛、苦、酸，温。,疏肝理气，宽中化痰。用于胸腹满闷；胁肋胀痛；咳嗽痰多。
小茴香,Xiaohuixiang,Fennel Fruit,Foeniculi Fructus,果实及种子类,伞形科植物茴香Foeniculum vulgare Mill.的干燥成熟果实。,原产欧洲，我国主产于内蒙古、甘肃、四川等地。,果实为双悬果，呈圆柱形，有的稍弯曲，两端略尖，长4~8mm，直径1.5~2.5mm。表面黄绿或淡黄色，顶端残留有黄棕色突起的柱基，基部有时有细小的果梗。分果呈长椭圆形，背面有纵棱5条，接合面平坦而较宽。横切面略呈5边形，背面的4边约等长。有特异茴香气，味微甜、辛。,以粒大饱满、黄绿色、香气浓者为佳。,辛，温。,开胃进食，理气散寒，有助阳道。主治：中焦有寒，食欲减退，恶心呕吐，腹部冷痛；疝气疼痛，睾丸肿痛；脾胃气滞，脘腹胀满作痛。
苦杏仁,Kuxingren,Ansu Apricot Seed,Armeniacae Semen Amarum,果实及种子类,蔷薇科植物山杏Prunus armeniaca L. var. ansu Masim.、西伯利亚杏Prunus sibirica L.、东北杏Prunus mandshurica (Maxim.) Koehne或杏Prunus armeniaca L.的干燥成熟种子。,主产辽宁、内蒙古、河北、山东等地。,苦杏仁：呈扁心形，长1~1.9cm，宽0.8~1.5cm，厚0.5~0.8cm。表面黄棕 色至深棕色，一端尖，另端钝圆，肥厚，左右不对称。尖端一侧有短线形种脐，圆端合点处向上具多数深棕色的脉纹。种皮薄，子叶2，乳白色，富油性。无臭，味苦。甜杏仁：干燥种子，呈扁心脏形，长1.6~2.1cm，宽1.2~1.6cm，顶端尖，基部圆，左右对称，种脊明显，种皮较苦杏仁为厚，淡黄棕色，自合点处分散出许多深棕色脉纹，形成纵向凹纹。断面白色。子叶接合面常见空隙。气微，味微甜。,苦杏仁以颗粒均匀、饱满、完整、味苦者为佳。甜杏仁以颗粒均匀而大、饱满肥厚、不发油者为佳。,苦杏仁：味苦，微温。甜杏仁：味甘、性平。,降气止咳平喘，润肠通便。用于咳嗽气喘，胸满痰多，血虚津枯，肠燥便秘。
鸦胆子,Yadanzi,Java Brucea Fruit,Bruceae Fructus,果实及种子类,苦木科植物鸦胆子Brucea javanica (L.) Merr.的干燥成熟果实。,主产广东、广西、福建、台湾等地。,核果卵形或椭圆形，略扁，长0.6~1cm，直径4~7mm，表面黑色，有隆起网状皱纹，顶端有鸟嘴状短尖的花柱残基，腹背两侧有较明显的棱线，基部钝圆，有凹点状果柄痕，果肉易剥落；果核坚硬，破开后内面灰棕色平滑，内含种子1颗。种子卵形，长4~7mm，直径3~5mm，表面乳白色或黄白色，有稍隆起的网纹，顶端短尖呈鸟嘴状，其下有长圆形种脐，近基部有棕色圆形合点，种脐与合点间有稍隆起的种脊；种皮薄，胚乳和胚富油性。气微特异，味极苦。,以粒大、饱满、种仁白色、油性足者为佳。,苦，寒，有小毒。,清热解毒，止痢，截疟，腐蚀赘疣。用于痢疾、疟疾；外治赘疣、鸡眼。
罂粟壳,Yingsuqiao,Opium Poppy Peel,Papaveris Pericarpium,果实及种子类,罂粟科植物罂粟Papaver somniferum L.的干燥成熟果壳。,我国由政府限定区域栽培。,呈椭圆形或瓶状卵形，多已破碎成片状，直径1.5~5cm，长3~7cm外表面黄白色、浅棕色至淡紫色，平滑，略有光泽，有纵向或横向的割痕。顶端有 6~14条放射状排列呈圆盘状的残留柱头；基部有短柄。体轻，质脆。内表面淡黄色，微有光泽。有纵向排列的假隔膜，棕黄色，上面密布略突起的棕褐色小点。气微清香，味微苦。,以完整、丰满者为佳。,酸、涩，平，有毒。,敛肺、涩肠、止痛。用于久咳、久泻，脱肛，脘腹疼痛。
薏苡仁,Yiyiren,Ma - yuen Jobstears Seed,Coicis Semen,果实及种子类,禾本科植物薏苡Coix lacryma-jobi L. var. ma-yuen (Roman.) Stapf的干燥成熟种仁。,主产福建、河北、浙江等地。,种仁宽卵形或长椭圆形，长4~8mm，宽3~6mm。表面乳白色，光滑，偶有残存的黄褐色种皮。一端钝圆，另端较宽而微凹，有1淡棕色点状种脐。背面圆凸，腹面有1条罗宽而深的纵沟。质坚实，断面白色粉性。气微，味微甜。以粒大充实、色白、无皮碎者为佳。,以粒大充实、色白、无皮碎者为佳。,甘、淡，微寒。,健脾渗湿，除痹止泻。薏米可用于治疗水肿、脚气、小便不利、湿痹拘挛、脾虚泄泻。
余甘子,Yuganzi,Emblic Leafflower Fruit,Phyllanthi Fructus,果实及种子类,大戟科植物余甘子Phyllanthus emblica L.的干燥成熟果实。,主产云南、四川、贵州、福建等地。,呈球形或扁球形，直径1.2~2cm。表面棕褐色至墨绿色，有浅黄色颗粒状突起，具皱纹及不明显的6棱，果梗约1mm。外果皮厚1~4mm，质硬而脆。内果皮黄白色，硬核样，表面略具6棱，背缝线的偏上部有数条筋脉纹，干后可裂成6瓣。种子6，近三棱形，棕色。气微，味酸涩，回味甜。,以饱满、干燥、无果柄者为佳。,甘、酸、涩，微寒。,清热凉血，消食健胃，生津止咳。用于血热血瘀，消化不良，腹胀，咳嗽，喉痛，口干。
郁李仁,Yuliren,Dwarf Flowering Cherry Seed,Pruni Semen,果实及种子类,蔷薇科植物欧李Prunus humilis Bge.、郁李Prunus japonica Thunb.及长柄扁桃Prunus pedunculata Maxim.的干燥成熟种子。,主产东北地区以及河北、山东等地。,郁李：核果近球形，深红色，直径约1cm；核表面光滑。欧李：核果成熟后近球形，红色或紫红色，直径1.5~1.8cm；核表面除背部两侧外无棱纹。长柄扁桃：种子卵形，长6~10mm，直径5~7mm。表面黄白色浅棕色，一端尖，另端钝圆。尖端一侧有线形种脐，圆端中央有深色合点，自合点处向上具多条纵向维管束脉纹。种皮薄，子叶乳白色，富油性。味微苦。,以颗粒饱满、完整、浅黄白色、不泛油者为佳。,辛、苦、甘，平。,润燥滑肠，下气，利水。用于津枯肠燥、食积气滞、腹胀便秘、水肿、脚气、小便不利。
枳壳,Zhiqiao,Submature Bitter Orange,Aurantii Fructus,果实及种子类,芸香科植物酸橙Citrus aurantium L.及其栽培变种的干燥未成熟果实。,主产四川、湖南、江西等地。,果实呈半球形，直径3~5.5cm。外皮绿褐色或棕褐色，略粗糙，散有众多小油点，中央有明显的花柱基痕或圆形果柄痕。切面中果皮厚0.6~1.2cm，黄白色较光滑，略向外翻，有维管束散布，边缘有棕黄色油点l~2列。质坚硬，不易折断，瓤囊7~12瓣，少数至15瓣，囊内汁胞干缩，棕黄色或暗棕色，质软，内藏种子。中轴坚实，宽5~9mm，黄白色，有一圈断续环列的维管束点。气香，味苦、微酸。,以外果皮色绿褐、果肉厚、质坚硬、香气浓者为佳。,辛、苦、酸，温。,理气宽中，行滞消胀。
枳实,Zhishi,Immature Bitter Orange,Aurantii Fructus Immaturus,果实及种子类,芸香科植物酸橙Citrus aurantium L. 及其栽培变种或甜橙Citrus sinensis (L.) Osbeck的干燥幼果。,主产四川、湖南、江西等地。,该品呈半球形，少数为球形，直径0.5~2.5cm。外果皮黑绿色或暗棕绿色，具颗粒状突起和皱纹，有明显的花柱残迹或果梗痕。切面中果皮略隆起，黄白色或黄褐色，厚0.3~1.2cm，边缘有1~2列油室，瓤囊棕褐色。质坚硬。气清香，味苦、微酸。,以皮青黑、果肉厚色白、囊小、坚实者为佳。,苦、辛、酸，温。,破气消积，化痰散痞。用于积滞内停；痞满胀痛；大便秘结；泻痢后重；结胸；胃下垂；子宫脱垂；脱肛。
栀子,Zhizi,Common Gardenia Fruit,Gardeniae Fructus,果实及种子类,茜草科植物栀子Gardenia jasminoides Ellis的干燥成熟果实。,主产湖北、湖南、江西、福建等地。,果实倒卵形、椭圆形或长椭圆形，长1.4~3.5cm，直径0.8~1.8cm。表面红棕色或红黄色，微有光泽，有翅状纵棱6~8条，每二翅棱间有纵脉1条，先端有暗黄绿色残存宿萼，先端有6~8条长形裂片，裂片长1~2.5cm，宽2~3mm，多碎断，果实基部收缩成果柄状，末端有圆形果柄痕。果皮薄而脆，内表面鲜黄色或红黄色。有光泽，具隆起的假隔膜2~3条。折断面鲜黄色，种子多数，扁椭圆形或扁矩圆形，聚成球状团块，棕红色，表面有细而密的凹入小点；胚乳角质；胚长形，具心形子叶2片。气微，味微酸苦。,以皮薄、饱满、色红黄者为佳。,苦，寒。,泻火除烦；清热利湿；凉血解毒主治热病心烦；肝火目赤；头痛；湿热黄疸；淋证；血痢尿血；口舌生疮；疮疡肿毒；扭伤肿痛。
猪牙皂,Zhuyazao,Abnorma Chinese Honeylocust Fruit,Gleditsiae Fructus Abnormalis,果实及种子类,豆科植物皂荚Gleditsia sinensis Lam.的干燥不育果实。,主产山东、云南、贵州、四川等地。,干燥荚果呈圆柱形，略扁，弯曲作镰形，长5~10cm，宽5~12mm。表面紫棕色或紫黑色，被灰白色粉霜，擦去后有光泽，并有细小的疣状突起及线状裂纹，腹缝线突起呈棱脊状，背缝线突起不显著而有棕黄色纵纹。先端有喙状的花柱残基，基部有果柄残痕。质硬而脆，易折断，断面外层棕黄色，中间黄白色，中心较软，有淡绿或淡棕黄色的丝状物与斜向网纹，纵向剖开可见排列整齐的凹窝，很少见种子。臭微，有刺激性，嗅其粉末则作喷嚏，味先甜后辣。,以个小饱满、色紫黑、有光泽、无果柄、质坚硬、肉多而粘、断面淡绿色者为佳。,辛、咸，温，有小毒。,通窍，涤痰，搜风，杀虫。治中风口噤，头风，风痼，喉痹，痰喘，痞满积滞，关格不通，痈肿，疥癞，癣疾，头疮。
紫苏子,Zisuzi,Cultivated Puple Perilla Fruit,Perillae Fructus,果实及种子类,唇形科植物紫苏Perilla frutescens (L.) Britt.的干燥成熟果实。,主产浙江、江苏、湖北、河南等地。,该品呈卵圆形或类球形，直径约1.5mm。表面灰棕色或灰褐色，有微隆起的暗紫色网纹，基部稍尖，有灰白色点状果梗痕。果皮薄而脆，易压碎。种子黄白色，种皮膜质，子叶2，类白色，有油性。压碎有香气，味微辛。,以均匀饱满、色灰褐、油性足者为佳。,辛，温。,降气消痰，平喘，润肠。用于痰壅气逆，咳嗽气喘，肠燥便秘。解表散寒，行气和胃。用于风寒感冒，咳嗽气喘，妊娠呕吐，胎动不安。又可解鱼蟹中毒。
枸杞子,Gouqizi,Babury Wolfberry Fruit,Lycii Fructus,果实及种子类,茄科植物宁夏枸杞Lycium barbarum L. 的干燥成熟果实。,主产于甘肃、宁夏、新疆、内蒙古、青海等地。,呈类纺锤形或椭圆形，表面红色或暗红色，项端有小突起状的花柱痕，基部有白色的果梗痕。果皮柔韧，皱缩；果肉肉质，柔润。种子20~50粒，类肾形。扁而翘，表面浅黄色或棕黄色。气微，味甜。,以粒大，色泽鲜亮者为佳。,甘，平。,滋补肝肾，益精明目。
核桃仁,Hetaoren,Walnut Meat,Juglandis Semen,果实及种子类,胡桃科植物胡桃Juglans regia L. 的干燥成熟种子。,主产于新疆省、河北省、山西省等地。,多破碎，为不规则的块状，有皱曲的沟槽，大小不一；完整者类球形。种皮淡黄色或黄褐色，膜状，维管柬脉纹深棕色，子叶类白色。质脆富油性。气微，味甘；种皮味涩、微苦。,以色黄、个大、饱满、油多者为佳。,甘，温。,补肾，温肺，润肠。用于肾阳不足，腰膝酸软，阳痿遗精，虚寒喘嗽，肠燥便秘。
槐角,Huaijiao,Japanese Pagodatree Fruit,Sophprae Fructus,果实及种子类,豆科植物槐Sophora japonica L.的干燥成熟果实。,主产于天津市、北京市、河南省、山东省、江苏省、安徽省、陕西省、河北省等地。,连珠状。表面黄绿色或黄棕色，皱缩而粗糙，背缝线一侧呈黄色。质柔润、干燥，易在收缩处折断，断面黄绿色，有粘性。种子1-6粒，肾形，表面光滑，棕黑色，一侧有灰白色圆形种脐；质坚硬，子叶2，黄绿色。果肉气微，味苦，种子嚼之有豆腥气。,以肥大，角长，黄绿色，充实饱满、整齐、身干、无杂为佳。,苦，寒。,清热泻火、凉血止血功能。用于肠热便血，痔肿出血，肝热头痛，眩晕目赤。
蒺藜,Jili,Puncturevine Caltrap Fruit,Tribuli Fructus,果实及种子类,蒺藜科植物蒺藜Tribulus terrestris L.的干燥成熟果实。,主产于河南省、山东省、新疆省等地,性状完整的果实由5个分果瓣组成，放射状排列呈五棱状球形，小分果斧状或橘瓣状，黄白色或淡黄绿色，背面弓形隆起，中间有纵棱及多数疙瘩状小短刺；上部两侧各有一粗硬刺，成八字形分开，基部的两个粗硬刺稍短，亦呈八字形分开，两侧面较薄，有网状花纹或数条斜向棱线。果皮木质，极坚硬。分果l室，靠腹面生有3~4粒种子，种子长卵圆形稍扁，有油性。,以饱满坚实、背面色淡黄绿者为佳。,辛、苦，微温；有小毒。,平肝解郁，活血祛风，明目，止痒。用于头痛眩晕，胸胁胀痛，乳闭乳痈，目赤翳障，风疹瘙痒。
罗汉果,Luohanguo,Lohanguo Siraitia Fruit,Siraitiae Fructus,果实及种子类,葫芦科植物罗汉果Siraitia grosvenorii (Swingle) C. Jeffrey ex Lu et Z. Y. Zhang的干燥成熟果实。,主产于广西桂林市永福县等地。,卵形、椭圆形或球形。表面褐色、黄褐色或绿褐色、有深色斑块和黄色柔毛，有的具6~11条纵纹。顶端有花柱残痕。基部有果梗痕。体轻，质脆，果皮薄、易破。果瓤 (中、内果皮) 海绵状，浅棕色。种子扁圆形，多数、浅红色至棕红色，两面中间微四陷。四周有放射状沟纹，边缘有槽。气微，味甜。,以中部最大围径划分等级，特大果 (围径18cm以上) ；大果 (围径17.4~18cm) ；中果 (16.5~17.4cm) ；小果 (14.1cm~15.5cm)，等级越高者越佳。,甘，凉。,清热润肺，利咽开音，润肠通便。用于肺热操咳，咽痛失音，肠燥便秘。
芡实,Qianshi,Gordon Euryale Seed,Euryales Semen,果实及种子类,睡莲科植物芡Euryale ferox Salisb. 的干燥成熟种仁。,主产于江苏、湖南、湖北、山东等地。,类球形，多为破粒。表面有棕红色内种皮，一端黄自色，约占全体1/3、有凹点状的种脐痕，除去内种皮显白色。质较硬，断面白色，粉性。气微，味淡。,以颗粒饱满均匀、粉性足、无碎末及皮壳者为佳。,甘、涩。平。,益肾固精，补脾止渭，除湿止带。用于遗精滑精，遗尿尿频，脾虚久泻，自浊，带下。
青葙子,Qingxiangzi,Feather Cockscomb Seed,Celosiae Semen,果实及种子类,苋科植物青葙Celosia argentea L.的干燥成熟种子。,主产于四川、江苏、湖南、湖北、广东、广西等地。,本品呈扁圆形，少数呈圆形。表面黑色或红黑色。光亮，中间微隆起，侧边微凹处有种脐，种皮簿而脆。气微、味淡。,以粒大，色泽黑亮者为佳。,苦，微寒。,清肝泻火，明目退韾。用于肝热口赤，目生韾膜，视物昏花，肝火眩晕。
山茱萸,Shanzhuyu,Common Macrocarpium Fruit,Corni Fructus,果实及种子类,山茱萸科植物山茱萸Cornus officinalis Sieb. et Zucc. 的干燥成熟果肉。,主产于河南省、浙江省、陕西省等地。,本品呈不规则的片状或囊状。表面紫红色至紫黑色，皱缩，有光泽。顶端有的有圆形宿萼痕，基部有果梗痕。质柔软。气微，味酸、涩、微苦。,以皮肉厚，色鲜艳，味酸浓者佳。,酸、涩，微温。,补益肝肾，涩精固脱。用于眩晕耳鸣，腰膝酸痛，阳痿遗精，遗尿尿频，崩漏带下，大汗虚脱，内热消渴。
酸枣仁,Suanzaoren,Spine Date Seed,Ziziphi Spinosae Semen,果实及种子类,鼠李科植物酸枣Ziziphus jujuba Mill. var. spinosa (Bunge) Hu ex H. F. Chou的干燥成熟种子。,主产于河北省、陕西省、辽宁省、河南省等地。,干燥成熟的种子呈扁圆形或椭圆形，表面紫红色或紫褐色，平滑有光泽，有的有裂纹。有的两面均承圆隆状突起，有的一面较平州。中间或有1条隆起的纵线纹；另一面稍突起。一端凹陷，可见线形种脐，另端有细小突起的合点。种皮较脆，乳白色。子叶2，浅黄色，富油性。 气微弱，味淡。,以粒大饱满、外皮紫红色、无核壳者为佳。,甘，酸，平。,养心补肝，宁心安神，敛汗，生津。用于虑烦不眠，惊悸多梦，体虚多汗，津伤口渴。
金樱子,Jinyingzi,Cherokee Rose Fruit,Rosae Laevigatae Fructus,果实及种子类,蔷薇科植物金樱子Rosa laevigata Michx.的干燥成熟果实。,主产于江西、重庆、湖南、湖北等地区。,本品为花托发育而成的假果。呈倒卵形，表面红黄色或红棕色，有突起的棕色小点，系毛刺脱落后的残基。顶端有盘状花萼残基，中央有黄色柱基，下部渐尖。质硬。切开后，花托壁内有多数坚硬的小瘦果，内壁及瘦果均有淡黄色绒毛。气微，味甘，微涩。,以个大、色红黄、有光泽、去净毛刺者为佳。,酸、甘、涩，平。,固精缩尿，固崩止带，涩肠止泻。用于遗精滑精，遗尿尿频，崩漏带下，久泻久痢。
南鹤虱,Nanheshi,Wild Carrot Fruit,Carotae Fructus,果实及种子类,伞形科植物野胡萝卜Daucus carota L.的干燥成熟果实。秋季果实成熟时割取果枝，晒干，打下果实，除去杂质。,主产于江苏、河南、湖北、浙江等地区。,本品为双悬果，呈椭圆形，多裂为分果。表面淡绿棕色或棕黄色，顶端有花柱残基，基部钝圆，背面隆起，具4条窄翅状次棱。翅上密生1列黄自色钩刺，次棱间的四下处有不明显的主棱，其上散生短柔毛，接合面平坦。有3条脉纹，上具柔毛。种仁类自色，有油性。体轻。搓碎时有特异香气，味微辛、苦。,以果实个大、色棕黄、搓碎时有特异香气者为佳。,苦、辛，平。,杀虫消积。用于蛔虫、蛲虫 、绦虫病，虫积腹痛、小儿疳积。
巴豆,Badou,Purging Croton Seed,Crotonis Fructus,果实及种子类,大戟科植物巴豆Croton tiglium L.的干燥成熟果实。,主产于四川、广西、云南、贵州等地。,本品呈卵圆形，一般具三棱。表面灰黄色或稍深，粗糙，有纵线6条，顶端平截，基部有果梗痕。破开果壳，可见3室，每室含种子1粒。种子呈略扁的椭圆形，表面棕色或灰棕色，一端有小点状的种脐和种阜的疤痕，另端有微凹的合点。其间有隆起的种脊；外种皮薄而脆，内种皮呈白色薄膜；种仁黄白色，油质。气微，味辛辣。,以粒大、饱满、种仁黄白色者为佳。,辛，热，有大毒。,外用蚀疮。用于恶疮疥癣，疣痣。
