名称,拼音,英文名,拉丁名,类别,来源,产地,性状,品质,性味,功效
三棱,Sanleng,Common Burreed Tuber,Sparganii Rhizoma,根及根茎类,黑三棱科植物黑三棱Sparganium stoloniferum Buch.-Ham.的干燥块茎。,主产于江苏、河南、山东、江西、辽宁等地。,干燥块茎呈圆锥形或扁卵圆形，上圆下尖，长2.5~5cm，直径1.5~3.5cm；表面黄白色或灰黄色，细腻或粗糙不平，有刀削痕迹，并有密集的点状须根痕，略呈横向环状排列，两侧面有突起，凹凸不平；质坚实，极难折断，入水下沉。切断面平坦，黄白色或灰白色，向内色较深，中间有多数不明显的维管束小点；气微弱，味淡，嚼之微有麻辣感。,以个匀、体重、质坚实、去净外皮、表面黄白色者为佳。,辛、苦，性平。,破血行气，消积止痛。适用于多种肿瘤，以及血瘀气滞、腹部结块、肝脾肿大、经闭腹痛、食积胀痛等。
生姜,Shengjiang,Fresh Ginger,Zingiberis Rhizoma Recens,根及根茎类,姜科植物姜Zingiber officinale (Willd.) Rosc.的新鲜根茎。,全国各地均产。,生姜呈不规则的块状，略扁，肉质肥厚。表面黄褐色或灰棕色，质脆，易折断，断面黄色，内皮层有明显环纹。气香特异，味辛辣。,以个大，肉质厚，新鲜者为佳。,辛，微温。,发汗解表，温中止呕，温肺止咳，解鱼蟹毒，解药毒。
干姜,Ganjiang,Dried Ginger,Zingiberis Rhizoma,根及根茎类,姜科植物姜Zingiber officinale (Willd.) Rosc.的干燥根茎。,主产于四川、贵州等地。,根茎呈不规则块状，略扁，具指状分枝，长3~7cm，厚1~2cm。表面灰棕色或浅黄棕色，粗糙，具纵皱纹及明显的环节。分枝处常有鳞叶残存，分枝顶端有茎痕或芽。质坚实，断面黄白色或灰白色，粉性和颗粒性，有一明显圆环 (内皮层)，筋脉点 (维管束) 及黄色油点散在。气香，特异，味辛辣。,以质坚实、断面色黄白、粉性足、气味浓者为佳。,味辛，性热。,温中散寒，回阳通脉，燥湿消痰，温肺化饮。主治脘腹冷痛；呕吐；泄泻，亡阳厥逆；寒饮喘咳；寒湿痹痛。
土贝母,Tubeimu,Paniculate Bolbostemma Bulb,Bolbostemmatis Rhizoma,根及根茎类,葫芦科植物土贝母Bolbostemma paniculatum (Maxim.) Franquet 的干燥块茎。,主产河南、河北、陕西、山西等地。,干燥块茎呈不规则块状，多角或三棱形，高0.6~1.6cm，直径0.7~2cm。暗棕色至半透明的红棕色，表面凹凸不平，多裂纹，顶端常有一突起的芽状物。质坚硬，不易折断。断面角质，光亮而平滑微有焦糊气，味微咸而苦。,以个大、红棕色、质坚实、有亮光，半透明者为佳。,味苦，微寒。,散结，消肿，解毒。用于乳痈，瘰疬；乳腺炎，颈淋巴结结核，慢性淋巴结炎，肥厚性鼻炎。
土茯苓,Tufulin,Glabrous Greenbrier Rhizome,Smilacis Glabrae Rhizoma,根及根茎类,百合科植物光叶菝葜Smilax glabra Roxb.的干燥根茎。,主产广东、浙江、湖南、湖北等地。,干燥根茎为不规则块状，略呈扁圆柱形而弯曲不直，多分枝，有结节状隆起，长约5~ 15cm，直径约2~5cm；表面土棕色或棕色，粗糙，常有刀伤切口及侧根残余部分，上端具茎痕；质坚硬，不易折断，断面粗糙，有粉性，淡棕色；气微，味甘淡。切片为长形薄片，大小不等，厚约1~3mm，边缘不整齐，淡红棕色或类白色；中间略具维管束点，仔细观察时可见砂砾样的光亮。纵切片常见花纹。导管不规则，富粉质，微有弹性，用水润湿后，手摸之有光滑感。,以外皮淡棕色、质坚实、断面白色或淡红棕色、筋脉少、粉性足者为佳。,甘、淡，平。,解毒，除湿，利关节。治梅毒，淋浊，筋骨挛痛，脚气，疔疗疮，痈肿，瘰疬，梅毒及汞中毒所致的肢体拘挛，筋骨疼痛。
牛膝,Niuxi,Common Achyranthes,Achyranthis Bidentatae Radix,根及根茎类,苋科植物牛膝Achyranthes bidentata Bl.的干燥根。,主产河南、河北、山东、山西等地。,根呈细长圆柱形，有的稍弯曲，上端稍粗，下端较细，长15~50cm，直径0.4~1cm。表面及黄色或淡棕色，具细微纵皱纹，有细小横长皮孔及稀疏的细根痕。质硬而脆，易折断，断面平坦，黄棕色，微呈角质样，中心维管束木部较大，黄白色，其外围散有多数点状维管束，排列成2~4轮。气微，味微甜、涩。,以条长、皮细肉肥、色黄白者为佳。,味苦；酸；性平。,补肝肾；强筋骨；活血通经；引火 (血) 下行；利尿通淋。主治腰膝酸痛；下肢痿软；血滞经闭；痛经；产后血瘀腹痛；症瘕；胞衣不下；热淋；血淋；跌打损伤；痈肿恶疮；咽喉肿痛。
南沙参,Nanshashen,Fourleaf Ladybell Root,Adenophorae Radix,根及根茎类,桔梗科植物轮叶沙参Adenophora tetraphylla (Thunb.) Fisch.的干燥根。,主产江苏、安徽、浙江、贵州等地。,根呈圆锥形或圆柱形，略弯曲，长7~27cm，直径0.8~3cm。表面黄白色或淡棕黄色，凹陷处常有残留粗皮，上部多有深陷横纹，呈断续的环状，下部有纵纹及纵沟。顶端具1或2个根茎 (芦头) 。体轻、质脆易折断，断面不平坦，黄白色，多裂隙。无臭，味微甘。,以条长、皮细肉肥、色黄白者为佳。,甘，微寒。,养阴清肺，益胃生津，补气，化痰。补肺脾之气，适用于脾肺气虚，倦怠乏力，食少，自汗，舌淡，脉弱者。
苦参,Kushen,Lightyellow Sophra Root,Sophorae Flavescentis Radix,根及根茎类,豆科植物苦参Sophora flavescens Ait.的干燥根。,主产河南、河北、山西等地。,根长圆柱形，下部常分枝，长10~30cm，直径l~2.5cm。表面棕黄色至灰棕色，具纵皱纹及横生皮孔。栓皮薄，常破裂反卷，易剥落，露出黄色内皮。质硬，不易折断，折断面纤维性。切片厚3~6mm，切面黄白色，具放射状纹理。气微，味苦。,以条匀、断面黄白、味极苦者为佳。,苦，寒。,清热燥湿；祛风杀虫。主湿热泻痢；肠风便血；黄疸；小便不利；水肿；带下；阴痒；疥癣；麻风；皮肤瘙痒；湿毒疮疡 。
太子参,Taizishen,Different Leaves Pseudostellaria,Pseudostellariae Radix,根及根茎类,石竹科植物孩儿参Pseudostellaria heterophylla (Miq.) Pax et Hoffm.的干燥块根。,主产山东、江苏、安徽等地。,干燥块根呈细长条形或长纺锤形，长约2~6cm，直径约3~6mm左右，表面黄白色，半透明，有纵皱纹及凹下的须根痕，根头钝圆，其上常有残存的茎痕，下端渐细如鼠尾。质脆易折断，断面黄白色或类白色，直接晒干的断面为白色，有粉性，气微，味微甘。,以肥润、黄白色、无须根者为佳。,甘，微苦，微温。,补益脾肺，益气生津。治肺虚咳嗽，脾虚食少，心悸，怔忡，水肿，消渴，精神疲乏。
丹参,Danshen,Dan - shen Root,Salviae Miltiorrhizae Radix et Rhizoma,根及根茎类,唇形科植物丹参Salvia miltiorrhiza Bge.的干燥根及根茎。,主产山东、江苏、安徽、四川等地。,药材多为带根茎的根，根茎粗短，有茎基残余，下着生多数细长的根。根呈圆柱形，稍弯曲，表面呈砖红色，粗糙，具多数纵沟或皱纹，有须根痕，外部栓皮常鳞片状剥落，皮层有时开裂，长8~22cm，直径5~12mm，质坚脆，易折断，断面不平，疏松有裂隙，皮部棕渴色或砖红色，韧皮部狭。形成层明显，淡棕色，木质部导管束灰黄色或黄白色，放射状排列。气微，味微苦、涩。,以条粗壮、色紫红者为佳。,苦，微寒。,活血调经，祛瘀止痛，凉血消痈，清心除烦，养血安神。主治月经不调，经闭痛经，症瘕积聚，胸腹刺痛，热痹疼痛，疮疡肿痛，心烦不眠；肝脾肿大，心绞痛。
党参,Dangshen,Pilose Asiabell Root,Codonopsis Radix,根及根茎类,桔梗科植物党参Codonopsis pilosula (Franch.) Nannf.的干燥根。,主产甘肃、山西、陕西、四川等地。,呈长圆柱形，稍弯曲，长10~35cm，直径0.4~2cm。根上端1~3cm部分有环纹，质稍软，断面裂隙少。味微酸。根头部有多数疣状突起的茎痕的顶端呈凹下的圆点状；根头下有致密的环状横纹，向下渐稀疏，有的达全长的一半，栽培品环纹少或无；全体有纵皱纹及散在的横长皮孔，支根断落处常有黑褐色胶状物。质稍硬或略带韧性，断面稍平坦，有裂隙或放射状纹理，皮部淡黄白色至淡棕色，木部淡黄色。有特殊香气，味微甜。,以条粗长、质柔润、气味浓，“化渣”者为佳。,甘、微酸，性平。,补中益气，健脾益肺。用于脾肺虚弱，气短心悸，食少便溏，虚喘咳嗽，内热消渴。
百部,Baibu,Japanese Stemona Root,Stemonae Radix,根及根茎类,百部科植物直立百部Stemona sessilifolia (Miq.) Miq.、蔓生百部Stemona japonica (Bl.) Miq. 或对叶百部Stemona tuberosa Lour.的干燥块根。,主产湖北、广西、云南、四川等地。,直立百部：呈纺锤形，上端较细长，皱缩弯曲，长5~12cm，直径0.5~1cm。表面黄白色或淡棕黄色，有不规则深纵沟，间或有横皱纹。质脆，易断，断面平坦，角质样，淡黄棕色或黄白色，皮部较宽，中柱扁缩。气微，味甘、苦。蔓生百部：两端稍狭细，表面多不规则皱褶及横皱纹。对叶百部：呈长纺锤形或长条形，长8~24cm，直径0.8~2cm。表面浅黄棕色至灰棕色，具浅纵皱纹或不规则纵槽。质坚实，断面黄白色至暗棕色，柱较大，髓部类白色。,以粗壮、肥润、坚实、色白者为佳。,甘、苦，微温。,润肺下气止咳，杀虫。用于新久咳嗽，肺痨咳嗽，百日咳；外用于头虱，体虱，蛲虫病，阴部骚痒。
白附子,Baifuzi,Giant Typhonium Tuber,Typhonii Rhizoma,根及根茎类,天南星科植物独角莲Typhonium giganteum Engl.的干燥块茎。,主产甘肃、河南、湖北等地。,白附子块茎呈椭圆形或卵圆形，长2~5cm，直径1~3cm。表面白色或黄白色，有环纹及须根痕，顶端具茎痕或芽痕。质坚硬，断面类白色，富粉性。无臭，味淡，嚼之麻辣刺舌。,以个大、质坚实，色白、粉性足者为佳。,味辛、甘，性温，有毒。,燥湿化痰，祛风止痉，解毒散结止痛。
白茅根,Baimaogen,Lalang Grass Rhizome,Imperatae Rhizoma,根及根茎类,禾本科植物白茅Imperata cylindrica (Linn.) P. Beauv.的干燥根茎。,主产河南、辽宁、河北、山西、山东、陕西、新疆等北方地区。,根茎长圆柱形，有时分枝，长短不一，长30~60cm，直径2~4mm。表面黄白色或淡黄色，有光泽，具纵皱纹，环节明显，节上残留灰棕色鳞叶及细根，节间长1~3cm。体轻，质韧，折断面纤维性，黄白色，多具放射状裂隙，有时中心可见一小孔。气微，味微甜。,以条粗、色白、味甜者为佳。,甘、寒。,凉血，止血，清热，利尿。治热病烦渴，吐血，衄血，肺热喘急，胃热哕逆，淋病，小便不利，水肿，黄疸。
白前,Baiqian,Willowleaf Swallowwort Rhizome and Root,Cynanchi Stauntonii Rhizoma et Radix,根及根茎类,萝藦科植物柳叶白前Cynanchum stauntonii (Decne.) Schltr. ex Levl.的干燥根茎及根。,主产河南、辽宁、河北、山西、山东、陕西、新疆等北方地区。,根纤细弯曲扭转而成团状，长约1~10cm，多数呈毛须状，表面棕色或紫棕色，有细缴皱，并具多数小须根。根茎呈管状，细长有节，略弯曲，长约4~15cm，直径1.5~5mm，表面浅黄色至黄棕色，有细纵皱纹，节部膨大，常有分歧，并密生须根，顶端常残留灰绿色或紫棕色的地上茎；质坚脆，易折断，断面类圆形，中空或有膜质的髓。质坚脆，易折断，断面类白色，气微弱，味甜。,以根茎粗、须根长、断面粉白色、粉性足者为佳。,辛、苦，微温。,降气化痰，止咳。用于咳嗽痰多，气喘。该品性微温而不燥烈，长于祛痰，降肺气以平咳喘，无论属寒属热，外感内伤，新嗽久咳均可用之。
白芍,Baishao,White Peony Root,Paeoniae Radix Alba,根及根茎类,毛茛科植物芍药Paeonia lactiflora Pall.的干燥根。,主产安徽、四川、浙江等地。,干燥根呈圆柱形，粗细均匀而平直，长10~20cm，直径1~1.8cm。表面淡红棕色或粉白色，平坦，或有明显的纵皱及须根痕，栓皮未除尽处有棕褐色斑痕，偶见横向皮孔。质坚实而重，不易折断。断面灰白色或微带棕色，木部放射线呈菊花心状，形成层环明显。气微，味微苦而酸。,以根粗长、匀直、质坚实、粉性足、表面洁净者为佳。,苦、酸，微寒。,养血柔肝，缓中止痛，敛阴收汗。治胸腹胁肋疼痛，泻痢腹痛，自汗盗汗，阴虚发热，月经不调，崩漏，带下。
白头翁,Baitouweng,Chinese Pulsatilla Root,Pulsatillae Radix,根及根茎类,毛茛科植物白头翁Pulsatilla chinensis (Bge.) Regel的干燥根。,主产安徽、华北、东北以及河南等地。,根长圆柱形或圆锥形，稍弯曲，有时扭曲而稍扁，长5~20cm，直径0.5~2cm。表面黄棕色或棕褐色，有不规则的纵皱纹或纵沟，中部有时分出2~3支根，皮部易脱落而露出黄色木部，且常朽蚀成凹洞，可见纵向突起的网状花纹；根头部稍膨大，有时分叉，顶端残留数层鞘状叶柄基及幼叶，密生白色长绒毛。质硬脆，折断面稍平坦，皮部黄白色，木部淡黄色，皮部与木部间有时出现空隙。气微，味微苦涩。,以条粗长，质坚实者为佳。,味苦，性寒。,清热解毒，凉血止痢，燥湿杀虫。主治热毒痢疾，鼻衄，血痔，带下，阴痒，痈疮，瘰疬。
白及,Baiji,Common Bletilla Tuber,Bletillae Rhizoma,根及根茎类,兰科植物白及Bletilla striata (Thunb.) Reichb. f.的干燥块茎。,主产云贵地区以及湖北、江西等地。,该品呈不规则扁圆形，多有2~3 个爪状分枝，长1.5~5cm，厚0.5~1.5cm。表面灰白色或黄白色，有数圈同心环节和棕色点状须根痕，上面有凸起的茎痕，下面有连接另一块茎的痕迹。质坚硬，不易折断，断面类白色，角质样。无臭，味苦，嚼之有黏性。,以个大、饱满、色白、半透明、质坚实者为佳。,味苦、甘、涩，微寒。,补肺，止血，消肿，生肌，敛疮。治肺伤咳血，衄血，金疮出血，痈疽肿毒，溃疡疼痛，汤火灼伤，手足皲裂。
白蔹,Bailian,Japanese Ampelopsis Root Tuber,Ampelopsis Radix,根及根茎类,葡萄科植物白蔹Ampelopsis japonica (Thunb.) Makino的干燥块根。,主产湖北、河南、江西、安徽等地。,块根长圆形或纺锤形，多纵切成瓣或斜片。完整者长5~12cm，直径1.5~3.5cm。表面红棕色或红褐色，有纵皱纹、细横纹及横长皮孔，栓皮易层层脱落，脱落处显淡红棕色，剖面类白色或淡红棕色，皱缩不平。斜片呈卵圆形，长2.5~5cm，宽2~3cm，切面类白色或浅红棕色，中部有一突起棱线，可见放射状纹理，周边较厚，微翘起或略弯曲翻卷。体轻，质硬脆，易折断粉性。气微，味微甜。,以肥大、断面粉红色、粉性足者为佳。,味苦、甘、辛，微寒。,清热解毒；散结止痛；生肌敛疮。用治疮疡肿毒，瘰疬，烫伤，湿疮，温疟，惊痫，血痢，肠风，痔漏，白带，跌打损伤，外伤出血。
白薇,Baiwei,Blackend Swallowwort Root and Rhizome,Cynanchi Atrati Radix et Rhizoma,根及根茎类,萝藦科植物白薇Cynanchum atratum Bge.的干燥根及根茎。,主产辽宁、河北、河南、山东、山西、安徽等地。,根茎粗短，有结节，多弯曲。上面有圆形的茎痕，下面及两侧簇生多数细长的根，根长10~25cm，直径0.1~0.2cm。表面棕黄色。质脆，易折断，断面皮部黄白色，木部黄色。气微，味微苦。,以根细长，棕黄色者为佳。,味苦、咸，寒。,清热凉血，利尿通淋，解毒疗疮。用于温邪伤营发热，阴虚发热，骨蒸劳热，产后血虚发热，热淋，血淋，痈疽肿毒。
白芷,Baizhi,Taiwan Angelica Root,Angelicae Dahuricae Radix,根及根茎类,伞形科植物杭白芷Angelica dahurica (Fisch. ex Hoffm.) Benth. et Hook. f. var. formosana (Boiss.) Shan et Yuan的干燥根。,主产浙江、四川、黑龙江、吉林、辽宁等地。,根呈圆锥形，长10~20cm，直径2~2.5cm。表面灰棕色，有横向突起的皮孔，顶端有凹陷的茎痕。质硬，断面白色，粉性足，皮部密布棕色油点。气芳香，味辛、微苦。,以条粗壮，质坚硬、体重、色白、粉性足、香气浓者为佳。,辛，温。,祛风湿，活血排脓，生肌止痛。用于头痛、牙痛、鼻渊、肠风痔漏、赤白带下、痈疽疮疡、皮肤瘙痒。
白术,Baizhu,Largehead Atractylodes Rhizome,Atractylodis Macrocephalae Rhizoma,根及根茎类,菊科植物白术Atractylodes macrocephala Koidz.的干燥根茎。,主产浙江、湖南、湖北、安徽等地。,根茎呈拳形团块，长3~13cm，直径1.5~7cm。表面灰黄色或灰棕色，有瘤状突起及断续的纵皱纹和须根痕，顶端有残留茎基和芽痕。质坚硬，不易折断，断面不平坦，黄白色至淡棕色，有棕黄色的点状油室散在。气清香，味甘、微辛，嚼之略带粘性。,以个大、坚实、断面黄白色、香气浓郁者为佳。,苦、甘，温。,健脾益气、燥湿利水、止汗、安胎。用于脾虚食少、腹胀泄泻、痰饮眩悸、水肿、自汗、胎动不安。
巴戟天,Bajitian,Medicinal Morinda Root,Morindae Officinalis Radix,根及根茎类,茜草科植物巴戟天Morinda officinalis How.的干燥根。,主产广东、广西、福建、海南等地。,根扁圆柱形式圆柱形，略弯曲，长度不等，直径1~2cm，表面灰黄色或灰黄棕色，有的微带紫色，具纵皱及深陷的横纹，有的呈缢缩状或皮部横向断离而露出木部，形如鸡肠。质坚韧，折断面不平，皮部厚5~7mm，淡紫色，木部直径2~4mm。气微，味苦，略涩。,以条肥壮、连珠状、肉厚、色紫者为佳。,辛、甘，温。,补肾助阳；强筋壮骨；祛风除湿。用于肾虚阳痿；遗精早泄；少腹冷痛；小便不禁；宫冷不孕；风寒湿痹；腰膝酸软；风湿肢气。
板蓝根,Banlangen,Indigowoad Root,Isatidis Radix,根及根茎类,十字花科植物菘蓝Isatis indigotica Fort.的干燥根。,主产河南、河北、安徽、江苏、东北等地。,呈细长圆柱形，长约10~20~30cm，直径3~8mm。表面浅灰黄色，粗糙，有纵皱纹及横斑痕，并有支根痕，根头部略膨大，顶端有一凹窝，周边有暗绿色的叶柄残基，较粗的根并现密集的疣状突起及轮状排列的灰棕色的叶柄痕。质坚实而脆，断面皮部黄白色至浅棕色，木质部黄色。气微弱，味微甘。,以根平直粗壮、坚实、粉性大者为佳。,苦，寒。,清热，解毒，凉血，利咽。用于温毒发斑；高热头痛；大头瘟疫；舌绛紫暗，烂喉丹痧；丹毒；痄腮；喉痹；疮肿、痈肿；水痘；麻疹；肝炎；流行性感冒，流脑，乙脑，肺炎，神昏吐衄，咽肿，火眼，疮疹。
